Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-25,32-097,DET,@,MIA,L (-1),0,24:57,2,8,.250,2,5,.400,1,2,.500,0,5,5,0,0,1,0,1,7,3.6,+9
2,2,2023-10-27,32-099,DET,@,CHO,W (+12),0,30:45,5,10,.500,3,7,.429,11,12,.917,0,4,4,2,1,1,0,1,24,22.5,+28
3,3,2023-10-28,32-100,DET,,CHI,W (+16),0,25:33,6,12,.500,6,10,.600,0,1,.000,0,2,2,0,0,1,0,1,18,12.5,+19
4,4,2023-10-30,32-102,DET,@,OKC,L (-12),0,21:06,4,9,.444,3,4,.750,0,0,,1,1,2,7,0,0,0,3,11,11.0,-9
5,,2023-11-01,32-104,DET,,POR,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,,2023-11-02,32-105,DET,@,NOP,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,2023-11-05,32-108,DET,,PHO,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,2023-11-06,32-109,DET,,GSW,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,2023-11-08,32-111,DET,@,MIL,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,,2023-11-10,32-113,DET,,PHI,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,5,2023-11-12,32-115,DET,@,CHI,L (-11),0,20:39,3,7,.429,2,6,.333,8,9,.889,1,2,3,4,0,0,0,2,16,15.2,+6
12,6,2023-11-14,32-117,DET,,ATL,L (-6),0,23:26,4,12,.333,4,9,.444,4,4,1.000,1,1,2,5,1,0,1,3,16,12.5,-16
13,7,2023-11-17,32-120,DET,@,CLE,L (-8),0,24:01,4,14,.286,2,9,.222,0,0,,2,1,3,1,1,0,0,3,10,4.0,-15
14,8,2023-11-19,32-122,DET,@,TOR,L (-29),0,22:00,3,9,.333,1,3,.333,7,8,.875,1,3,4,1,0,0,1,3,14,8.6,-29
15,9,2023-11-20,32-123,DET,,DEN,L (-4),0,17:02,1,5,.200,0,4,.000,1,2,.500,0,3,3,2,1,0,1,1,3,1.4,-13
16,10,2023-11-24,32-127,DET,@,IND,L (-23),0,13:47,2,6,.333,2,3,.667,0,0,,0,2,2,1,1,1,2,1,6,3.2,-8
17,11,2023-11-27,32-130,DET,,WAS,L (-19),0,13:01,2,8,.250,0,5,.000,4,4,1.000,0,0,0,1,0,0,0,1,8,3.5,-12
18,12,2023-11-29,32-132,DET,,LAL,L (-26),0,10:28,2,7,.286,1,3,.333,1,1,1.000,1,0,1,0,0,0,0,1,6,2.2,-8
19,13,2023-11-30,32-133,DET,@,NYK,L (-6),0,11:27,0,3,.000,0,3,.000,1,1,1.000,0,0,0,1,0,0,0,0,1,-0.4,+3
