Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-25,26-099,MIA,,DET,W (+1),1,32:09,7,13,.538,0,0,,8,10,.800,2,6,8,3,0,2,2,3,22,18.4,-4
2,2,2023-10-27,26-101,MIA,@,BOS,L (-8),1,35:01,10,23,.435,0,0,,7,9,.778,3,4,7,2,1,2,3,1,27,17.8,0
3,3,2023-10-28,26-102,MIA,@,MIN,L (-16),1,32:54,7,14,.500,0,1,.000,5,10,.500,1,2,3,2,0,0,4,4,19,7.1,-10
4,,2023-10-30,26-104,MIA,@,MIL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,4,2023-11-01,26-106,MIA,,BRK,L (-4),1,33:06,8,12,.667,0,0,,5,5,1.000,4,10,14,3,2,2,4,0,21,23.1,+5
6,5,2023-11-03,26-108,MIA,,WAS,W (+7),1,29:59,8,15,.533,0,0,,2,2,1.000,0,4,4,3,0,0,4,3,18,8.8,+6
7,6,2023-11-06,26-111,MIA,,LAL,W (+1),1,38:19,9,20,.450,1,1,1.000,3,5,.600,5,14,19,10,2,2,4,2,22,24.1,+5
8,7,2023-11-08,26-113,MIA,@,MEM,W (+6),1,36:23,8,15,.533,0,0,,14,16,.875,0,11,11,1,1,3,4,5,30,23.0,+15
9,8,2023-11-11,26-116,MIA,@,ATL,W (+8),1,39:21,9,12,.750,0,0,,8,8,1.000,4,13,17,4,2,2,3,2,26,30.3,-5
10,9,2023-11-12,26-117,MIA,@,SAS,W (+5),1,34:17,10,20,.500,0,0,,4,5,.800,4,7,11,6,3,0,0,0,24,25.7,-10
11,10,2023-11-14,26-119,MIA,@,CHO,W (+6),1,35:56,8,16,.500,0,0,,5,6,.833,0,11,11,4,3,1,1,3,21,20.2,+1
12,11,2023-11-16,26-121,MIA,,BRK,W (+7),1,33:31,8,15,.533,0,0,,4,4,1.000,2,5,7,4,2,0,2,2,20,17.6,-6
13,12,2023-11-18,26-123,MIA,@,CHI,L (-5),1,35:55,8,12,.667,0,0,,8,8,1.000,1,9,10,5,0,0,3,3,24,21.5,-1
14,13,2023-11-20,26-125,MIA,@,CHI,W (+18),1,30:27,8,14,.571,0,0,,7,9,.778,3,8,11,6,1,0,1,3,23,23.1,+7
15,,2023-11-22,26-127,MIA,@,CLE,W (+33),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
16,14,2023-11-24,26-129,MIA,@,NYK,L (-2),1,34:47,8,16,.500,0,1,.000,5,6,.833,2,10,12,2,2,0,2,4,21,16.8,0
17,,2023-11-25,26-130,MIA,@,BRK,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,15,2023-11-28,26-133,MIA,,MIL,L (-7),1,42:11,13,27,.481,0,0,,5,7,.714,2,8,10,5,0,2,2,3,31,22.0,-16
19,16,2023-11-30,26-135,MIA,,IND,W (+10),1,12:28,3,9,.333,0,0,,1,2,.500,0,4,4,2,0,0,0,1,7,3.7,-2
20,,2023-12-02,26-137,MIA,,IND,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,,2023-12-06,26-141,MIA,@,TOR,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,,2023-12-08,26-143,MIA,,CLE,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,2023-12-11,26-146,MIA,@,CHO,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,,2023-12-13,26-148,MIA,,CHO,W (+11),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
25,,2023-12-14,26-149,MIA,,CHI,L (-8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
26,,2023-12-16,26-151,MIA,,CHI,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,17,2023-12-18,26-153,MIA,,MIN,L (-4),1,36:29,10,22,.455,0,0,,2,3,.667,3,3,6,6,1,1,4,3,22,13.9,-3
28,18,2023-12-20,26-155,MIA,@,ORL,W (+9),1,29:44,7,15,.467,0,0,,4,5,.800,0,7,7,2,1,0,1,4,18,11.8,-6
29,19,2023-12-22,26-157,MIA,,ATL,W (+9),1,38:04,5,14,.357,0,1,.000,8,10,.800,2,9,11,6,2,0,6,2,18,12.9,+10
30,20,2023-12-25,26-160,MIA,,PHI,W (+6),1,36:14,9,15,.600,0,0,,8,12,.667,3,12,15,5,0,3,4,1,26,24.4,0
31,21,2023-12-28,26-163,MIA,@,GSW,W (+12),1,35:30,7,13,.538,0,0,,3,4,.750,2,9,11,4,0,0,0,2,17,16.4,+8
