Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-25,25-299,MIA,,DET,W (+1),0,8:40,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2,1.3,-4
2,2,2023-10-27,25-301,MIA,@,BOS,L (-8),0,23:07,3,6,.500,3,4,.750,0,0,,1,1,2,3,3,1,1,2,9,11.0,-18
3,3,2023-10-28,25-302,MIA,@,MIN,L (-16),0,22:23,2,4,.500,1,1,1.000,0,0,,0,1,1,4,1,0,1,1,5,5.7,-12
4,,2023-10-30,25-304,MIA,@,MIL,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,,2023-11-01,25-306,MIA,,BRK,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,,2023-11-03,25-308,MIA,,WAS,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,,2023-11-06,25-311,MIA,,LAL,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,4,2023-11-08,25-313,MIA,@,MEM,W (+6),0,14:35,1,3,.333,0,2,.000,0,0,,2,2,4,1,1,1,0,0,2,4.7,-3
9,5,2023-11-11,25-316,MIA,@,ATL,W (+8),0,28:01,4,8,.500,1,3,.333,0,0,,1,1,2,2,3,1,2,3,9,7.9,-1
10,6,2023-11-12,25-317,MIA,@,SAS,W (+5),0,26:50,4,9,.444,2,5,.400,2,2,1.000,2,2,4,3,0,0,1,2,12,9.6,+5
