Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-25,29-186,MIA,,DET,W (+1),0,22:06,6,10,.600,3,5,.600,0,0,,1,1,2,1,0,0,0,1,15,11.7,-3
2,2,2023-10-27,29-188,MIA,@,BOS,L (-8),0,24:19,3,7,.429,3,6,.500,0,0,,0,1,1,0,0,0,0,2,9,4.8,-12
3,3,2023-10-28,29-189,MIA,@,MIN,L (-16),0,28:50,3,12,.250,2,10,.200,0,0,,1,2,3,1,1,0,1,1,8,2.4,-18
4,4,2023-10-30,29-191,MIA,@,MIL,L (-8),0,21:59,6,10,.600,3,7,.429,0,0,,1,0,1,1,0,0,0,5,15,9.8,-1
5,5,2023-11-01,29-193,MIA,,BRK,L (-4),0,21:17,2,8,.250,1,6,.167,0,0,,0,3,3,2,0,0,1,4,5,-0.1,-4
6,6,2023-11-03,29-195,MIA,,WAS,W (+7),0,29:32,7,11,.636,4,8,.500,0,0,,0,1,1,6,1,0,2,0,18,16.6,+2
7,7,2023-11-06,29-198,MIA,,LAL,W (+1),0,26:18,5,11,.455,2,6,.333,0,0,,0,3,3,3,1,0,1,1,12,8.9,+8
8,8,2023-11-08,29-200,MIA,@,MEM,W (+6),0,35:06,3,7,.429,2,5,.400,1,2,.500,0,3,3,2,0,0,5,3,9,1.0,+2
9,9,2023-11-11,29-203,MIA,@,ATL,W (+8),1,30:14,5,15,.333,1,10,.100,0,0,,0,3,3,2,1,0,1,3,11,3.6,-1
10,10,2023-11-12,29-204,MIA,@,SAS,W (+5),1,38:37,8,16,.500,4,7,.571,6,6,1.000,1,4,5,4,0,1,0,1,26,23.0,+22
11,11,2023-11-14,29-206,MIA,@,CHO,W (+6),1,35:43,6,13,.462,4,10,.400,2,2,1.000,0,8,8,5,1,1,1,2,18,17.1,+1
12,12,2023-11-16,29-208,MIA,,BRK,W (+7),1,37:35,8,14,.571,6,10,.600,4,4,1.000,0,0,0,2,0,0,0,3,26,19.6,+2
13,13,2023-11-18,29-210,MIA,@,CHI,L (-5),1,34:57,5,9,.556,4,5,.800,3,4,.750,0,3,3,7,0,0,1,2,17,16.3,+4
14,14,2023-11-20,29-212,MIA,@,CHI,W (+18),1,29:46,7,11,.636,6,9,.667,2,2,1.000,0,2,2,2,0,0,0,3,22,17.9,+7
15,15,2023-11-22,29-214,MIA,@,CLE,W (+33),1,24:15,3,7,.429,1,3,.333,0,0,,0,2,2,3,0,0,0,3,7,4.8,+32
16,,2023-11-24,29-216,MIA,@,NYK,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,2023-11-25,29-217,MIA,@,BRK,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,16,2023-11-28,29-220,MIA,,MIL,L (-7),1,31:24,5,11,.455,3,7,.429,0,2,.000,0,3,3,3,0,1,2,3,13,7.0,-14
19,17,2023-11-30,29-222,MIA,,IND,W (+10),1,29:20,5,9,.556,4,6,.667,2,2,1.000,0,1,1,2,1,0,1,3,16,12.2,+9
20,18,2023-12-02,29-224,MIA,,IND,L (-15),1,30:27,7,11,.636,2,3,.667,1,1,1.000,1,1,2,3,0,0,2,6,17,10.8,-9
21,19,2023-12-06,29-228,MIA,@,TOR,W (+9),1,32:08,9,19,.474,3,10,.300,0,0,,1,5,6,7,1,0,0,1,21,19.0,+33
22,20,2023-12-08,29-230,MIA,,CLE,L (-12),1,23:12,0,7,.000,0,6,.000,1,2,.500,0,0,0,1,0,0,6,4,1,-11.2,-25
23,21,2023-12-11,29-233,MIA,@,CHO,W (+2),1,33:28,8,14,.571,5,9,.556,3,3,1.000,1,6,7,4,2,0,0,0,24,24.7,+1
24,22,2023-12-13,29-235,MIA,,CHO,W (+11),1,40:23,7,11,.636,6,9,.667,3,3,1.000,0,2,2,3,2,0,4,2,23,18.0,+15
25,23,2023-12-14,29-236,MIA,,CHI,L (-8),1,26:43,4,9,.444,3,6,.500,0,2,.000,0,2,2,3,0,0,1,2,11,6.4,-13
26,24,2023-12-16,29-238,MIA,,CHI,W (+2),1,23:53,3,9,.333,3,9,.333,0,0,,0,1,1,6,0,0,2,0,9,6.4,-15
27,25,2023-12-18,29-240,MIA,,MIN,L (-4),0,22:10,5,9,.556,4,8,.500,0,0,,0,5,5,3,1,0,2,2,14,11.5,-7
28,26,2023-12-20,29-242,MIA,@,ORL,W (+9),0,22:56,4,5,.800,1,1,1.000,3,3,1.000,0,3,3,6,0,0,1,3,12,13.0,+16
29,27,2023-12-22,29-244,MIA,,ATL,W (+9),0,25:16,8,11,.727,4,7,.571,7,7,1.000,1,2,3,3,1,0,2,0,27,24.9,+14
30,28,2023-12-25,29-247,MIA,,PHI,W (+6),0,34:03,5,13,.385,5,10,.500,1,1,1.000,0,4,4,2,1,0,0,3,16,11.3,+26
31,29,2023-12-28,29-250,MIA,@,GSW,W (+12),0,29:51,2,11,.182,1,6,.167,0,0,,1,1,2,4,0,0,0,3,5,0.7,+5
32,30,2023-12-30,29-252,MIA,@,UTA,L (-8),0,32:10,4,8,.500,3,5,.600,0,0,,0,4,4,4,2,2,1,4,11,11.8,-10
33,31,2024-01-01,29-254,MIA,@,LAC,L (-17),0,26:05,3,8,.375,3,7,.429,6,6,1.000,0,1,1,2,0,0,1,1,15,10.9,-3
34,32,2024-01-03,29-256,MIA,@,LAL,W (+14),0,29:59,5,14,.357,3,12,.250,0,0,,0,0,0,2,1,0,1,3,13,5.4,0
35,33,2024-01-05,29-258,MIA,@,PHO,L (-16),0,26:31,1,7,.143,1,6,.167,1,2,.500,0,1,1,3,1,1,3,3,4,-1.0,-3
36,34,2024-01-08,29-261,MIA,,HOU,W (+7),0,29:28,4,12,.333,3,10,.300,3,3,1.000,0,3,3,7,1,0,1,6,14,10.6,+2
37,35,2024-01-10,29-263,MIA,,OKC,L (-8),0,24:44,1,8,.125,1,7,.143,0,0,,0,1,1,1,2,0,1,0,3,-0.2,-18
38,36,2024-01-12,29-265,MIA,,ORL,W (+3),1,41:26,9,19,.474,4,10,.400,1,1,1.000,1,3,4,3,1,0,3,1,23,14.6,+13
39,37,2024-01-14,29-267,MIA,,CHO,W (+17),0,30:04,7,11,.636,3,6,.500,2,2,1.000,0,4,4,5,1,1,2,2,19,17.7,+12
40,38,2024-01-15,29-268,MIA,@,BRK,W (+1),0,21:48,0,4,.000,0,3,.000,0,0,,0,2,2,2,1,1,2,1,0,-1.5,-11
41,39,2024-01-17,29-270,MIA,@,TOR,L (-24),0,21:19,6,11,.545,2,5,.400,0,0,,1,2,3,1,0,0,2,0,14,8.7,-18
