Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2023-10-25,26-320,MIA,,DET,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2023-10-27,26-322,MIA,@,BOS,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2023-10-28,26-323,MIA,@,MIN,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,2023-10-30,26-325,MIA,@,MIL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,1,2023-11-01,26-327,MIA,,BRK,L (-4),0,21:49,3,5,.600,3,4,.750,0,0,,0,4,4,2,1,1,1,0,9,10.0,-9
6,2,2023-11-03,26-329,MIA,,WAS,W (+7),1,21:43,3,4,.750,2,3,.667,0,0,,0,0,0,0,0,0,2,3,8,3.2,+10
7,3,2023-11-06,26-332,MIA,,LAL,W (+1),1,22:25,2,6,.333,1,5,.200,0,0,,0,1,1,0,1,1,0,2,5,2.8,+10
8,4,2023-11-08,26-334,MIA,@,MEM,W (+6),1,26:51,5,7,.714,2,4,.500,2,2,1.000,2,0,2,1,1,3,0,2,14,15.5,+12
9,5,2023-11-11,26-337,MIA,@,ATL,W (+8),1,33:43,3,13,.231,0,5,.000,5,7,.714,1,5,6,5,2,1,1,2,11,8.9,+10
10,6,2023-11-12,26-338,MIA,@,SAS,W (+5),1,26:09,0,4,.000,0,3,.000,0,0,,1,3,4,1,0,0,0,3,0,-1.7,-20
11,7,2023-11-14,26-340,MIA,@,CHO,W (+6),1,32:55,5,8,.625,2,5,.400,0,0,,1,3,4,2,5,2,0,1,12,17.4,+6
12,8,2023-11-16,26-342,MIA,,BRK,W (+7),1,22:50,2,5,.400,0,3,.000,2,2,1.000,0,1,1,0,0,0,1,3,6,1.4,+3
13,9,2023-11-18,26-344,MIA,@,CHI,L (-5),1,24:07,0,4,.000,0,3,.000,0,0,,1,2,3,0,3,0,4,1,0,-2.9,+20
14,10,2023-11-20,26-346,MIA,@,CHI,W (+18),1,20:03,3,4,.750,1,1,1.000,0,0,,1,1,2,3,1,0,1,3,7,7.3,+1
15,11,2023-11-22,26-348,MIA,@,CLE,W (+33),1,24:41,4,6,.667,2,3,.667,0,0,,1,5,6,5,1,2,0,4,10,13.9,+18
16,12,2023-11-24,26-350,MIA,@,NYK,L (-2),1,23:37,1,6,.167,1,5,.200,2,2,1.000,0,3,3,3,2,0,2,1,5,3.8,+10
17,13,2023-11-25,26-351,MIA,@,BRK,L (-15),1,15:27,3,7,.429,2,3,.667,0,0,,1,3,4,0,0,1,1,2,8,4.8,-22
18,,2023-11-28,26-354,MIA,,MIL,L (-7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
19,14,2023-11-30,26-356,MIA,,IND,W (+10),1,14:39,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,1,4,2,-0.6,-12
