Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-25,22-249,MIA,,DET,W (+1),0,13:11,3,3,1.000,0,0,,0,0,,0,2,2,2,2,0,1,2,6,7.3,+4
2,2,2023-10-27,22-251,MIA,@,BOS,L (-8),0,14:19,0,2,.000,0,1,.000,0,0,,0,2,2,2,0,0,1,2,0,-1.2,-8
3,3,2023-10-28,22-252,MIA,@,MIN,L (-16),1,18:14,3,4,.750,1,2,.500,0,0,,0,3,3,1,0,0,3,0,7,4.0,+5
4,4,2023-10-30,22-254,MIA,@,MIL,L (-8),0,22:42,3,9,.333,2,5,.400,0,0,,1,1,2,3,1,1,0,2,8,6.9,-7
5,5,2023-11-01,22-256,MIA,,BRK,L (-4),1,19:08,1,9,.111,0,6,.000,0,0,,2,2,4,1,2,1,2,4,2,-2.1,+7
6,6,2023-11-03,22-258,MIA,,WAS,W (+7),0,21:36,4,5,.800,0,1,.000,1,1,1.000,3,2,5,3,1,0,0,1,9,12.5,+3
7,7,2023-11-06,22-261,MIA,,LAL,W (+1),0,18:18,4,7,.571,1,4,.250,0,0,,1,1,2,1,1,0,1,1,9,7.0,0
8,8,2023-11-08,22-263,MIA,@,MEM,W (+6),0,21:08,4,5,.800,1,1,1.000,2,3,.667,0,3,3,2,2,0,0,5,11,11.0,-6
9,9,2023-11-11,22-266,MIA,@,ATL,W (+8),1,38:28,8,17,.471,2,7,.286,2,2,1.000,1,2,3,4,1,0,3,3,20,12.2,+2
10,10,2023-11-12,22-267,MIA,@,SAS,W (+5),0,32:16,4,10,.400,1,2,.500,2,2,1.000,1,5,6,3,3,1,1,1,11,12.2,+10
11,11,2023-11-14,22-269,MIA,@,CHO,W (+6),0,32:54,8,13,.615,1,3,.333,0,0,,4,1,5,1,0,0,1,3,17,12.7,+6
12,12,2023-11-16,22-271,MIA,,BRK,W (+7),0,33:19,4,9,.444,2,5,.400,0,0,,0,4,4,5,0,0,1,3,10,7.8,+4
13,13,2023-11-18,22-273,MIA,@,CHI,L (-5),0,27:01,2,4,.500,1,1,1.000,1,2,.500,1,2,3,0,0,0,3,4,6,0.3,-25
14,14,2023-11-20,22-275,MIA,@,CHI,W (+18),0,32:42,8,13,.615,3,4,.750,0,0,,2,1,3,4,2,0,0,1,19,19.2,+24
15,15,2023-11-22,22-277,MIA,@,CLE,W (+33),0,28:02,7,10,.700,4,4,1.000,4,5,.800,2,6,8,1,1,0,6,1,22,15.9,+16
16,16,2023-11-24,22-279,MIA,@,NYK,L (-2),0,34:52,6,17,.353,1,6,.167,2,2,1.000,3,2,5,4,1,0,0,3,15,10.8,-18
17,17,2023-11-25,22-280,MIA,@,BRK,L (-15),1,31:14,8,15,.533,2,3,.667,0,0,,1,4,5,4,1,0,2,1,18,14.0,-18
18,18,2023-11-28,22-283,MIA,,MIL,L (-7),0,32:50,7,9,.778,0,1,.000,0,0,,1,3,4,6,1,1,1,5,14,15.0,+5
19,19,2023-11-30,22-285,MIA,,IND,W (+10),0,33:04,8,13,.615,1,3,.333,7,7,1.000,0,5,5,1,1,0,3,3,24,17.1,+18
20,20,2023-12-02,22-287,MIA,,IND,L (-15),0,28:40,4,9,.444,1,2,.500,2,5,.400,0,3,3,3,2,0,0,1,11,9.7,-6
21,21,2023-12-06,22-291,MIA,@,TOR,W (+9),0,32:07,6,13,.462,1,4,.250,2,2,1.000,0,0,0,2,0,0,2,2,15,6.9,-16
22,22,2023-12-08,22-293,MIA,,CLE,L (-12),0,34:52,7,13,.538,0,2,.000,0,0,,1,2,3,3,0,1,3,3,14,7.6,+1
23,23,2023-12-11,22-296,MIA,@,CHO,W (+2),0,24:13,5,8,.625,2,3,.667,6,6,1.000,0,0,0,1,0,0,2,6,18,10.7,-2
24,24,2023-12-13,22-298,MIA,,CHO,W (+11),0,33:10,7,16,.438,2,2,1.000,1,1,1.000,2,4,6,8,1,0,2,0,17,15.8,-3
25,25,2023-12-14,22-299,MIA,,CHI,L (-8),0,34:19,6,14,.429,1,4,.250,9,10,.900,0,4,4,4,0,0,2,4,22,14.6,+3
26,26,2023-12-16,22-301,MIA,,CHI,W (+2),0,34:34,8,14,.571,1,3,.333,1,1,1.000,1,4,5,4,2,0,2,1,18,15.7,+8
27,27,2023-12-18,22-303,MIA,,MIN,L (-4),0,30:08,3,8,.375,0,1,.000,2,2,1.000,1,2,3,0,2,2,3,4,8,3.7,-1
28,28,2023-12-20,22-305,MIA,@,ORL,W (+9),1,33:52,3,10,.300,0,3,.000,4,6,.667,2,1,3,1,1,1,1,1,10,6.1,-8
29,29,2023-12-22,22-307,MIA,,ATL,W (+9),1,37:16,7,14,.500,1,1,1.000,4,5,.800,4,3,7,1,1,1,2,4,19,14.1,+11
30,30,2023-12-25,22-310,MIA,,PHI,W (+6),1,39:29,11,15,.733,1,3,.333,8,8,1.000,5,5,10,1,2,0,0,3,31,31.4,-1
31,31,2023-12-28,22-313,MIA,@,GSW,W (+12),1,38:41,7,15,.467,2,5,.400,1,2,.500,1,4,5,6,1,0,2,2,17,13.2,+8
32,32,2023-12-30,22-315,MIA,@,UTA,L (-8),0,35:08,2,9,.222,0,4,.000,5,5,1.000,0,1,1,1,0,0,2,4,9,0.9,-16
33,33,2024-01-01,22-317,MIA,@,LAC,L (-17),1,38:29,6,13,.462,0,3,.000,3,4,.750,3,1,4,2,4,0,2,2,15,12.9,-17
34,34,2024-01-03,22-319,MIA,@,LAL,W (+14),1,39:03,7,14,.500,2,6,.333,0,0,,0,0,0,8,1,1,2,1,16,13.9,+24
35,35,2024-01-05,22-321,MIA,@,PHO,L (-16),1,35:28,5,7,.714,0,2,.000,0,0,,1,2,3,1,2,0,3,4,10,6.5,-18
36,36,2024-01-08,22-324,MIA,,HOU,W (+7),1,38:37,5,11,.455,1,2,.500,3,4,.750,0,4,4,4,1,0,2,1,14,10.5,+6
37,37,2024-01-10,22-326,MIA,,OKC,L (-8),1,33:56,6,9,.667,3,5,.600,6,9,.667,0,5,5,2,0,0,3,4,21,14.2,-4
38,38,2024-01-12,22-328,MIA,,ORL,W (+3),1,36:58,8,16,.500,0,2,.000,3,3,1.000,4,3,7,3,1,0,3,3,19,13.6,-4
39,39,2024-01-14,22-330,MIA,,CHO,W (+17),1,14:37,7,11,.636,0,0,,1,1,1.000,1,4,5,2,1,0,0,1,15,14.0,+8
40,,2024-01-15,22-331,MIA,@,BRK,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,,2024-01-17,22-333,MIA,@,TOR,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,,2024-01-19,22-335,MIA,,ATL,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,,2024-01-21,22-337,MIA,@,ORL,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,,2024-01-24,22-340,MIA,,MEM,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
45,,2024-01-25,22-341,MIA,,BOS,L (-33),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,40,2024-01-27,22-343,MIA,@,NYK,L (-16),0,23:41,1,3,.333,1,2,.500,3,4,.750,0,1,1,4,2,1,0,4,6,8.1,-18
47,41,2024-01-29,22-345,MIA,,PHO,L (-13),0,25:15,0,6,.000,0,4,.000,2,2,1.000,0,3,3,1,1,0,2,1,2,-2.0,-4
48,42,2024-01-31,22-347,MIA,,SAC,W (+9),0,24:56,3,9,.333,0,1,.000,2,2,1.000,0,4,4,1,0,0,2,2,8,2.0,+15
49,43,2024-02-02,22-349,MIA,@,WAS,W (+8),0,25:48,4,7,.571,0,1,.000,0,0,,2,2,4,2,2,0,0,2,8,9.3,+10
50,44,2024-02-04,22-351,MIA,,LAC,L (-8),0,25:38,3,11,.273,1,3,.333,0,0,,3,1,4,4,0,0,3,2,7,1.9,-9
51,45,2024-02-06,22-353,MIA,,ORL,W (+26),0,23:24,4,11,.364,1,5,.200,3,3,1.000,2,4,6,2,3,0,2,3,12,9.7,+8
52,46,2024-02-07,22-354,MIA,,SAS,W (+12),0,27:57,4,6,.667,0,2,.000,2,5,.400,0,3,3,0,0,0,2,1,10,4.7,-1
53,47,2024-02-11,22-358,MIA,,BOS,L (-4),1,28:36,2,6,.333,1,2,.500,1,2,.500,1,2,3,1,0,0,1,1,6,2.8,+2
54,48,2024-02-13,22-360,MIA,@,MIL,W (+26),0,27:52,5,12,.417,0,2,.000,2,3,.667,1,2,3,4,0,0,3,3,12,5.1,+18
55,49,2024-02-14,22-361,MIA,@,PHI,W (+5),0,32:02,6,12,.500,0,2,.000,0,0,,3,6,9,3,2,0,1,2,12,12.2,+5
56,50,2024-02-23,23-005,MIA,@,NOP,W (+11),0,26:52,2,8,.250,0,3,.000,4,4,1.000,2,2,4,1,1,0,0,0,8,6.9,+8
57,51,2024-02-26,23-008,MIA,@,SAC,W (+11),1,37:41,12,17,.706,1,2,.500,1,2,.500,1,4,5,2,4,0,2,2,26,23.0,-5
58,52,2024-02-27,23-009,MIA,@,POR,W (+10),0,29:21,2,5,.400,1,2,.500,2,2,1.000,2,1,3,4,0,0,1,3,7,6.6,+10
59,53,2024-02-29,23-011,MIA,@,DEN,L (-6),0,26:46,1,5,.200,0,1,.000,1,2,.500,1,3,4,5,2,0,3,1,3,3.2,-3
60,54,2024-03-02,23-013,MIA,,UTA,W (+6),0,29:02,5,10,.500,1,3,.333,1,2,.500,2,2,4,1,1,0,1,3,12,8.1,-1
61,55,2024-03-05,23-016,MIA,,DET,W (+8),0,26:37,4,7,.571,1,2,.500,2,2,1.000,1,5,6,2,0,0,0,1,11,10.9,-2
62,56,2024-03-07,23-018,MIA,@,DAL,L (-6),0,27:48,4,7,.571,3,4,.750,2,2,1.000,0,6,6,2,1,0,0,2,13,13.1,+2
63,57,2024-03-08,23-019,MIA,@,OKC,L (-7),0,31:17,10,13,.769,1,3,.333,4,6,.667,0,3,3,3,3,0,0,2,25,24.3,-9
64,58,2024-03-10,23-021,MIA,,WAS,L (-2),0,24:51,3,6,.500,0,1,.000,0,1,.000,2,5,7,2,2,2,2,2,6,7.5,+5
65,59,2024-03-13,23-024,MIA,,DEN,L (-12),0,28:10,2,6,.333,0,1,.000,4,4,1.000,0,2,2,0,0,0,1,2,8,3.4,-6
66,60,2024-03-15,23-026,MIA,@,DET,W (+13),0,25:54,1,5,.200,0,2,.000,0,0,,0,5,5,4,1,0,0,5,2,2.2,+13
67,61,2024-03-17,23-028,MIA,@,DET,W (+3),1,34:39,6,14,.429,1,3,.333,2,4,.500,3,0,3,4,1,1,1,1,15,12.0,+6
68,62,2024-03-18,23-029,MIA,@,PHI,L (-7),1,34:45,3,13,.231,1,5,.200,2,2,1.000,0,9,9,4,1,0,1,1,9,6.2,-2
69,63,2024-03-20,23-031,MIA,@,CLE,W (+3),0,31:13,3,5,.600,0,1,.000,1,1,1.000,0,1,1,2,0,0,1,4,7,3.8,-7
