Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-25,34-041,MIA,,DET,W (+1),1,34:28,6,18,.333,0,0,,7,9,.778,8,5,13,4,2,0,0,0,19,19.9,-3
2,2,2023-10-27,34-043,MIA,@,BOS,L (-8),1,33:41,3,11,.273,0,0,,8,9,.889,2,3,5,3,1,1,1,1,14,11.8,0
3,,2023-10-28,34-044,MIA,@,MIN,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,3,2023-10-30,34-046,MIA,@,MIL,L (-8),1,28:43,4,11,.364,1,2,.500,4,4,1.000,2,2,4,4,0,1,1,0,13,11.4,-13
5,4,2023-11-01,34-048,MIA,,BRK,L (-4),1,34:06,7,16,.438,0,2,.000,6,8,.750,4,3,7,3,1,0,1,1,20,16.2,-3
6,5,2023-11-03,34-050,MIA,,WAS,W (+7),1,31:23,7,11,.636,1,2,.500,5,6,.833,0,7,7,2,3,0,2,1,20,18.8,+6
7,6,2023-11-06,34-053,MIA,,LAL,W (+1),1,36:34,9,15,.600,3,4,.750,7,7,1.000,2,2,4,6,2,0,3,0,28,26.3,-1
8,7,2023-11-08,34-055,MIA,@,MEM,W (+6),1,34:37,5,13,.385,2,4,.500,3,3,1.000,1,2,3,2,2,0,1,1,15,11.2,+12
9,,2023-11-11,34-058,MIA,@,ATL,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,8,2023-11-12,34-059,MIA,@,SAS,W (+5),1,36:31,5,14,.357,1,3,.333,8,9,.889,2,4,6,4,0,1,2,1,19,14.5,+14
11,9,2023-11-14,34-061,MIA,@,CHO,W (+6),1,34:03,10,14,.714,1,1,1.000,11,14,.786,3,1,4,5,2,0,3,1,32,29.5,+2
12,10,2023-11-16,34-063,MIA,,BRK,W (+7),1,34:34,12,19,.632,2,5,.400,10,11,.909,2,3,5,3,1,3,4,0,36,30.6,+9
13,11,2023-11-18,34-065,MIA,@,CHI,L (-5),1,33:27,8,16,.500,2,6,.333,7,7,1.000,0,3,3,2,1,0,2,2,25,17.5,+7
14,12,2023-11-20,34-067,MIA,@,CHI,W (+18),1,29:15,4,11,.364,0,2,.000,8,9,.889,0,3,3,6,1,0,1,2,16,13.8,+17
15,13,2023-11-22,34-069,MIA,@,CLE,W (+33),1,27:48,3,12,.250,1,5,.200,3,4,.750,1,3,4,9,2,2,1,0,10,12.7,+23
16,14,2023-11-24,34-071,MIA,@,NYK,L (-2),1,36:42,7,14,.500,3,5,.600,6,6,1.000,0,2,2,3,1,0,2,1,23,17.3,+7
17,,2023-11-25,34-072,MIA,@,BRK,L (-15),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
18,,2023-11-28,34-075,MIA,,MIL,L (-7),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
19,15,2023-11-30,34-077,MIA,,IND,W (+10),1,37:59,9,19,.474,0,1,.000,18,20,.900,4,7,11,3,0,0,3,1,36,29.1,-3
20,16,2023-12-02,34-079,MIA,,IND,L (-15),1,37:04,12,23,.522,0,1,.000,9,9,1.000,2,3,5,5,0,0,1,1,33,26.1,-17
21,17,2023-12-06,34-083,MIA,@,TOR,W (+9),1,35:23,7,16,.438,1,1,1.000,4,5,.800,0,2,2,8,1,0,0,2,19,16.6,+5
22,18,2023-12-08,34-085,MIA,,CLE,L (-12),1,36:26,5,15,.333,0,2,.000,6,7,.857,3,2,5,2,1,0,2,1,16,9.8,-5
23,19,2023-12-11,34-088,MIA,@,CHO,W (+2),1,35:33,7,12,.583,1,1,1.000,8,9,.889,2,2,4,8,1,1,3,4,23,21.7,+13
24,20,2023-12-13,34-090,MIA,,CHO,W (+11),1,29:14,4,8,.500,0,0,,7,7,1.000,2,5,7,10,1,0,4,1,15,17.5,+19
25,21,2023-12-14,34-091,MIA,,CHI,L (-8),1,35:54,6,15,.400,0,1,.000,8,10,.800,2,4,6,7,0,0,1,0,20,17.6,-10
26,22,2023-12-16,34-093,MIA,,CHI,W (+2),1,34:58,9,18,.500,0,2,.000,10,11,.909,1,3,4,2,2,0,2,3,28,20.4,+12
27,23,2023-12-18,34-095,MIA,,MIN,L (-4),1,34:20,5,12,.417,1,3,.333,4,6,.667,2,3,5,5,0,0,1,1,15,12.2,+5
28,,2023-12-20,34-097,MIA,@,ORL,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,2023-12-22,34-099,MIA,,ATL,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2023-12-25,34-102,MIA,,PHI,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,2023-12-28,34-105,MIA,@,GSW,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
