Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2023-10-25,30-040,MIA,,DET,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2023-10-27,30-042,MIA,@,BOS,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2023-10-28,30-043,MIA,@,MIN,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,1,2023-10-30,30-045,MIA,@,MIL,L (-8),0,23:02,3,7,.429,0,2,.000,0,0,,0,3,3,2,0,0,0,3,6,3.4,+4
5,2,2023-11-01,30-047,MIA,,BRK,L (-4),0,30:18,1,9,.111,1,5,.200,1,2,.500,0,3,3,3,1,0,0,2,4,0.9,-13
6,3,2023-11-03,30-049,MIA,,WAS,W (+7),0,25:32,4,6,.667,1,2,.500,1,1,1.000,0,3,3,5,0,0,2,2,10,9.0,-2
7,4,2023-11-06,30-052,MIA,,LAL,W (+1),0,21:16,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,1,4,3,0.0,-6
8,5,2023-11-08,30-054,MIA,@,MEM,W (+6),0,16:48,1,9,.111,0,5,.000,0,0,,0,0,0,2,0,1,4,1,2,-6.2,-19
9,6,2023-11-11,30-057,MIA,@,ATL,W (+8),0,22:45,6,7,.857,3,4,.750,1,1,1.000,0,2,2,0,0,0,1,0,16,13.1,+15
10,7,2023-11-12,30-058,MIA,@,SAS,W (+5),1,26:08,4,7,.571,2,4,.500,2,2,1.000,0,3,3,4,1,0,0,2,12,12.6,+1
11,8,2023-11-14,30-060,MIA,@,CHO,W (+6),0,33:01,2,10,.200,0,6,.000,2,2,1.000,1,4,5,6,1,1,1,2,6,5.8,+11
