Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-25,35-048,MIA,,DET,W (+1),1,27:44,4,9,.444,3,6,.500,2,2,1.000,2,8,10,2,0,0,1,5,13,10.5,+5
2,2,2023-10-27,35-050,MIA,@,BOS,L (-8),1,20:32,3,7,.429,2,4,.500,1,2,.500,2,7,9,2,1,0,0,1,9,10.4,+13
3,,2023-10-28,35-051,MIA,@,MIN,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,3,2023-10-30,35-053,MIA,@,MIL,L (-8),1,17:55,1,6,.167,1,5,.200,0,0,,0,5,5,3,0,0,2,1,3,0.4,-10
5,,2023-11-01,35-055,MIA,,BRK,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,2023-11-03,35-057,MIA,,WAS,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,,2023-11-06,35-060,MIA,,LAL,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,,2023-11-08,35-062,MIA,@,MEM,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,4,2023-11-11,35-065,MIA,@,ATL,W (+8),0,13:37,2,4,.500,1,3,.333,2,2,1.000,0,4,4,2,0,0,1,0,7,6.6,+10
10,5,2023-11-12,35-066,MIA,@,SAS,W (+5),0,14:10,3,8,.375,2,7,.286,4,4,1.000,0,2,2,0,0,0,0,2,12,7.4,-6
11,6,2023-11-14,35-068,MIA,@,CHO,W (+6),0,13:54,0,5,.000,0,5,.000,3,4,.750,0,3,3,1,0,0,0,1,3,0.3,+2
12,7,2023-11-16,35-070,MIA,,BRK,W (+7),0,15:39,2,4,.500,1,3,.333,2,2,1.000,1,8,9,4,0,0,0,2,7,10.1,+16
13,8,2023-11-18,35-072,MIA,@,CHI,L (-5),0,12:05,2,7,.286,1,6,.167,0,2,.000,1,5,6,2,0,0,0,2,5,2.9,-4
14,9,2023-11-20,35-074,MIA,@,CHI,W (+18),0,15:04,4,6,.667,3,5,.600,0,0,,0,8,8,1,0,0,1,2,11,9.7,+17
15,,2023-11-22,35-076,MIA,@,CLE,W (+33),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,10,2023-11-24,35-078,MIA,@,NYK,L (-2),0,18:17,2,7,.286,1,6,.167,2,2,1.000,1,5,6,1,0,0,2,1,7,3.4,-1
17,11,2023-11-25,35-079,MIA,@,BRK,L (-15),0,16:56,3,4,.750,0,0,,2,2,1.000,3,7,10,2,0,0,1,2,8,10.2,+9
18,12,2023-11-28,35-082,MIA,,MIL,L (-7),1,25:56,2,11,.182,2,5,.400,0,0,,4,6,10,4,0,0,0,2,6,5.7,-4
19,13,2023-11-30,35-084,MIA,,IND,W (+10),0,17:27,1,1,1.000,0,0,,3,4,.750,1,7,8,6,1,0,0,2,5,11.5,+10
20,14,2023-12-02,35-086,MIA,,IND,L (-15),0,18:50,4,6,.667,3,5,.600,3,3,1.000,0,1,1,5,0,0,0,4,14,13.6,-9
21,15,2023-12-06,35-090,MIA,@,TOR,W (+9),0,14:32,2,5,.400,1,4,.250,3,3,1.000,1,1,2,4,0,0,0,2,8,8.3,-18
22,16,2023-12-08,35-092,MIA,,CLE,L (-12),0,28:03,5,9,.556,4,8,.500,0,0,,0,12,12,3,1,1,1,3,14,14.9,+6
23,17,2023-12-11,35-095,MIA,@,CHO,W (+2),0,21:28,7,11,.636,4,8,.500,1,1,1.000,1,5,6,1,1,0,0,1,19,17.6,+8
24,18,2023-12-13,35-097,MIA,,CHO,W (+11),0,20:00,1,9,.111,0,6,.000,1,2,.500,0,8,8,1,2,1,2,1,3,0.1,+10
25,19,2023-12-14,35-098,MIA,,CHI,L (-8),0,21:48,5,12,.417,3,8,.375,3,4,.750,1,8,9,4,1,0,2,1,16,13.7,+5
26,20,2023-12-16,35-100,MIA,,CHI,W (+2),0,26:29,8,12,.667,6,10,.600,0,0,,1,6,7,1,1,0,1,2,22,19.2,+19
27,21,2023-12-18,35-102,MIA,,MIN,L (-4),1,23:37,3,7,.429,3,7,.429,0,0,,0,10,10,4,1,0,0,2,9,11.3,+1
28,,2023-12-20,35-104,MIA,@,ORL,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,22,2023-12-22,35-106,MIA,,ATL,W (+9),0,9:56,1,4,.250,1,4,.250,3,4,.750,0,0,0,1,0,0,0,3,6,2.7,-1
30,23,2023-12-25,35-109,MIA,,PHI,W (+6),0,15:59,2,3,.667,1,2,.500,3,4,.750,1,9,10,5,0,0,1,0,8,12.2,+8
31,24,2023-12-28,35-112,MIA,@,GSW,W (+12),0,12:53,2,5,.400,1,3,.333,3,3,1.000,0,7,7,4,0,0,1,1,8,8.8,+2
32,25,2023-12-30,35-114,MIA,@,UTA,L (-8),0,19:59,4,11,.364,2,8,.250,2,4,.500,2,4,6,2,0,0,1,1,12,7.7,-7
33,26,2024-01-01,35-116,MIA,@,LAC,L (-17),0,22:30,7,11,.636,1,5,.200,2,2,1.000,2,2,4,3,0,2,1,2,17,15.8,+5
34,27,2024-01-03,35-118,MIA,@,LAL,W (+14),0,27:53,4,7,.571,0,1,.000,2,6,.333,3,11,14,3,1,1,0,3,10,13.1,+11
35,28,2024-01-05,35-120,MIA,@,PHO,L (-16),0,20:04,6,9,.667,3,6,.500,5,6,.833,3,4,7,2,0,0,2,4,20,16.8,-3
36,29,2024-01-08,35-123,MIA,,HOU,W (+7),0,23:11,4,7,.571,1,3,.333,6,7,.857,3,4,7,4,1,0,1,2,15,16.6,+5
37,30,2024-01-10,35-125,MIA,,OKC,L (-8),0,19:42,3,6,.500,0,2,.000,6,6,1.000,1,4,5,2,0,0,1,0,12,11.3,-14
38,31,2024-01-12,35-127,MIA,,ORL,W (+3),0,16:10,2,6,.333,1,4,.250,0,1,.000,1,2,3,1,1,0,1,3,5,2.0,-3
39,,2024-01-14,35-129,MIA,,CHO,W (+17),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
40,,2024-01-15,35-130,MIA,@,BRK,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,,2024-01-17,35-132,MIA,@,TOR,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,32,2024-01-19,35-134,MIA,,ATL,L (-1),0,11:52,0,5,.000,0,3,.000,0,0,,1,4,5,1,1,0,3,1,0,-3.3,-11
43,33,2024-01-21,35-136,MIA,@,ORL,L (-18),0,14:04,3,6,.500,2,5,.400,1,2,.500,3,3,6,0,0,0,1,4,9,6.0,-3
44,34,2024-01-24,35-139,MIA,,MEM,L (-9),0,5:06,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.8,-7
45,,2024-01-25,35-140,MIA,,BOS,L (-33),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,35,2024-01-27,35-142,MIA,@,NYK,L (-16),0,13:50,1,2,.500,0,1,.000,0,0,,0,2,2,2,0,0,0,0,2,3.0,-3
47,36,2024-01-29,35-144,MIA,,PHO,L (-13),0,12:50,0,4,.000,0,4,.000,4,4,1.000,0,2,2,0,0,1,1,2,4,0.7,-16
48,37,2024-01-31,35-146,MIA,,SAC,W (+9),0,13:42,2,4,.500,2,3,.667,2,2,1.000,1,2,3,3,0,0,0,0,8,9.4,+10
49,38,2024-02-02,35-148,MIA,@,WAS,W (+8),0,15:09,4,5,.800,2,3,.667,3,4,.750,1,9,10,2,0,0,1,1,13,14.1,+16
50,39,2024-02-04,35-150,MIA,,LAC,L (-8),0,14:53,2,4,.500,2,4,.500,0,0,,0,7,7,3,0,0,2,1,6,5.8,-2
51,40,2024-02-06,35-152,MIA,,ORL,W (+26),0,15:10,3,9,.333,1,7,.143,0,0,,3,1,4,4,0,0,1,4,7,4.5,-8
52,41,2024-02-07,35-153,MIA,,SAS,W (+12),0,16:47,2,7,.286,2,6,.333,0,0,,0,6,6,0,1,1,1,3,6,3.2,0
