Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2023-10-25,26-086,MIA,,DET,W (+1),0,15:50,2,5,.400,0,0,,4,5,.800,2,4,6,3,1,0,1,0,8,9.6,+5
2,2,2023-10-27,26-088,MIA,@,BOS,L (-8),0,12:59,1,5,.200,0,1,.000,0,0,,1,3,4,1,0,1,1,1,2,0.5,-8
3,3,2023-10-28,26-089,MIA,@,MIN,L (-16),0,11:33,2,4,.500,0,0,,1,2,.500,3,2,5,1,0,0,1,1,5,4.6,-8
4,4,2023-10-30,26-091,MIA,@,MIL,L (-8),1,21:59,4,7,.571,0,1,.000,2,2,1.000,0,2,2,0,2,0,1,0,10,8.3,-12
5,5,2023-11-01,26-093,MIA,,BRK,L (-4),0,14:54,3,4,.750,0,0,,2,2,1.000,1,4,5,0,1,0,2,4,8,5.7,-9
6,6,2023-11-03,26-095,MIA,,WAS,W (+7),0,18:01,5,7,.714,0,0,,1,2,.500,2,2,4,0,0,1,2,4,11,6.8,+1
7,7,2023-11-06,26-098,MIA,,LAL,W (+1),0,9:41,1,1,1.000,0,0,,0,0,,0,4,4,0,0,1,1,1,2,2.2,-4
8,8,2023-11-08,26-100,MIA,@,MEM,W (+6),0,11:36,1,3,.333,0,0,,0,0,,1,5,6,0,0,0,1,1,2,1.1,-9
9,,2023-11-11,26-103,MIA,@,ATL,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,9,2023-11-12,26-104,MIA,@,SAS,W (+5),0,5:00,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,+9
11,10,2023-11-14,26-106,MIA,@,CHO,W (+6),0,3:22,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,1.0,+5
12,,2023-11-16,26-108,MIA,,BRK,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,,2023-11-18,26-110,MIA,@,CHI,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,,2023-11-20,26-112,MIA,@,CHI,W (+18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,11,2023-11-22,26-114,MIA,@,CLE,W (+33),1,23:41,4,8,.500,0,0,,2,2,1.000,1,6,7,1,1,1,0,3,10,9.7,+13
16,,2023-11-24,26-116,MIA,@,NYK,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,12,2023-11-25,26-117,MIA,@,BRK,L (-15),1,13:25,1,5,.200,0,1,.000,0,0,,0,1,1,0,1,0,2,1,2,-2.2,-17
18,,2023-11-28,26-120,MIA,,MIL,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,13,2023-11-30,26-122,MIA,,IND,W (+10),0,5:41,1,1,1.000,0,0,,0,0,,1,3,4,1,0,0,0,1,2,3.6,-1
20,,2023-12-02,26-124,MIA,,IND,L (-15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
